"rshaw@gmail.com","100.50","1/31/2018 10:22:09 PM","DEPOSIT"
"rshaw@gmail.com","-20.65","1/31/2018 10:22:23 PM","WITHDRAWAL"
"juliascottdouglas@gmail.com","234","1/31/2018 10:24:32 PM","DEPOSIT"
"juliascottdouglas@gmail.com","-34","1/31/2018 10:24:40 PM","WITHDRAWAL"
"julia@julia.com","2.00","1/31/2018 10:29:09 PM","DEPOSIT"
"rshaw@gmail.com","5","1/31/2018 10:32:35 PM","DEPOSIT"
"rshaw@gmail.com","4.34234","1/31/2018 10:32:59 PM","DEPOSIT"
"rshaw@gmail.com","-42","1/31/2018 10:33:23 PM","WITHDRAWAL"
"rshaw@gmail.com","5.25","1/31/2018 11:00:01 PM","DEPOSIT"
"rshaw@gmail.com","5.00","2/1/2018 6:48:33 PM","DEPOSIT"
"rshaw@gmail.com","-10.05","2/1/2018 6:48:39 PM","WITHDRAWAL"
"rshaw@yahoo.com","10.00","2/1/2018 11:11:22 PM","DEPOSIT"
"rshaw@gmail.com","10.01","2/1/2018 11:19:05 PM","DEPOSIT"
"rshaw@gmail.com","1.00","2/1/2018 11:19:11 PM","DEPOSIT"
"rshaw@gmail.com","-12.00","2/1/2018 11:19:29 PM","WITHDRAWAL"
